2023-05-25 00:30:27 Warning: Warning (512): PostsController::isAuthorized() is not defined. in [C:\Users\Ian Sanchez\AppData\Local\Programs\Xampp\htdocs\cakephp-1.3.17\cake\libs\controller\controller.php, line 804]
2023-05-25 00:43:24 Warning: Warning (512): PagesController::isAuthorized() is not defined. in [C:\Users\Ian Sanchez\AppData\Local\Programs\Xampp\htdocs\cakephp-1.3.17\cake\libs\controller\controller.php, line 804]
2023-05-25 00:43:24 Warning: Warning (512): PagesController::isAuthorized() is not defined. in [C:\Users\Ian Sanchez\AppData\Local\Programs\Xampp\htdocs\cakephp-1.3.17\cake\libs\controller\controller.php, line 804]
2023-05-25 00:43:24 Warning: Warning (512): PagesController::isAuthorized() is not defined. in [C:\Users\Ian Sanchez\AppData\Local\Programs\Xampp\htdocs\cakephp-1.3.17\cake\libs\controller\controller.php, line 804]
2023-05-25 00:43:24 Warning: Warning (512): PagesController::isAuthorized() is not defined. in [C:\Users\Ian Sanchez\AppData\Local\Programs\Xampp\htdocs\cakephp-1.3.17\cake\libs\controller\controller.php, line 804]
2023-05-25 00:43:24 Warning: Warning (512): PagesController::isAuthorized() is not defined. in [C:\Users\Ian Sanchez\AppData\Local\Programs\Xampp\htdocs\cakephp-1.3.17\cake\libs\controller\controller.php, line 804]
2023-05-25 00:43:24 Warning: Warning (512): PagesController::isAuthorized() is not defined. in [C:\Users\Ian Sanchez\AppData\Local\Programs\Xampp\htdocs\cakephp-1.3.17\cake\libs\controller\controller.php, line 804]
2023-05-25 00:43:24 Warning: Warning (512): PagesController::isAuthorized() is not defined. in [C:\Users\Ian Sanchez\AppData\Local\Programs\Xampp\htdocs\cakephp-1.3.17\cake\libs\controller\controller.php, line 804]
2023-05-25 00:43:24 Warning: Warning (512): PagesController::isAuthorized() is not defined. in [C:\Users\Ian Sanchez\AppData\Local\Programs\Xampp\htdocs\cakephp-1.3.17\cake\libs\controller\controller.php, line 804]
2023-05-25 00:43:24 Warning: Warning (512): PagesController::isAuthorized() is not defined. in [C:\Users\Ian Sanchez\AppData\Local\Programs\Xampp\htdocs\cakephp-1.3.17\cake\libs\controller\controller.php, line 804]
2023-05-25 00:43:24 Warning: Warning (512): PagesController::isAuthorized() is not defined. in [C:\Users\Ian Sanchez\AppData\Local\Programs\Xampp\htdocs\cakephp-1.3.17\cake\libs\controller\controller.php, line 804]
2023-05-25 00:43:25 Warning: Warning (512): PagesController::isAuthorized() is not defined. in [C:\Users\Ian Sanchez\AppData\Local\Programs\Xampp\htdocs\cakephp-1.3.17\cake\libs\controller\controller.php, line 804]
2023-05-25 00:43:25 Warning: Warning (512): PagesController::isAuthorized() is not defined. in [C:\Users\Ian Sanchez\AppData\Local\Programs\Xampp\htdocs\cakephp-1.3.17\cake\libs\controller\controller.php, line 804]
2023-05-25 00:43:25 Warning: Warning (512): PagesController::isAuthorized() is not defined. in [C:\Users\Ian Sanchez\AppData\Local\Programs\Xampp\htdocs\cakephp-1.3.17\cake\libs\controller\controller.php, line 804]
2023-05-25 00:43:25 Warning: Warning (512): PagesController::isAuthorized() is not defined. in [C:\Users\Ian Sanchez\AppData\Local\Programs\Xampp\htdocs\cakephp-1.3.17\cake\libs\controller\controller.php, line 804]
2023-05-25 00:43:25 Warning: Warning (512): PagesController::isAuthorized() is not defined. in [C:\Users\Ian Sanchez\AppData\Local\Programs\Xampp\htdocs\cakephp-1.3.17\cake\libs\controller\controller.php, line 804]
2023-05-25 00:43:25 Warning: Warning (512): PagesController::isAuthorized() is not defined. in [C:\Users\Ian Sanchez\AppData\Local\Programs\Xampp\htdocs\cakephp-1.3.17\cake\libs\controller\controller.php, line 804]
2023-05-25 00:51:04 Warning: Warning (512): UsersController::isAuthorized() is not defined. in [C:\Users\Ian Sanchez\AppData\Local\Programs\Xampp\htdocs\cakephp-1.3.17\cake\libs\controller\controller.php, line 804]
